PERMNO,date,TICKER,PERMCO,PRC,VOL,RET
13407,2017/3/31,FB,54084,142.05,11478265,-0.002528
13407,2017/4/3,FB,54084,142.28,13591960,0.001619
13407,2017/4/4,FB,54084,141.73,12986399,-0.003866
13407,2017/4/5,FB,54084,141.85001,17158059,0.000847
13407,2017/4/6,FB,54084,141.17,15103444,-0.004794
13407,2017/4/7,FB,54084,140.78,11818341,-0.002763
13407,2017/4/10,FB,54084,141.03999,9039366,0.001847
13407,2017/4/11,FB,54084,139.92,16638087,-0.007941
13407,2017/4/12,FB,54084,139.58,11612456,-0.00243
13407,2017/4/13,FB,54084,139.39,10965614,-0.001361
13407,2017/4/17,FB,54084,141.42,11519663,0.014563
13407,2017/4/18,FB,54084,140.96001,15111972,-0.003253
13407,2017/4/19,FB,54084,142.27,15545445,0.009293
13407,2017/4/20,FB,54084,143.8,15968164,0.010754
13407,2017/4/21,FB,54084,143.67999,12382002,-0.000835
13407,2017/4/24,FB,54084,145.47,14416470,0.012458
13407,2017/4/25,FB,54084,146.49001,17767553,0.007012
13407,2017/4/26,FB,54084,146.56,12394959,0.000478
13407,2017/4/27,FB,54084,147.7,11282112,0.007778
13407,2017/4/28,FB,54084,150.25,30652268,0.017265
13407,2017/5/1,FB,54084,152.46001,25218300,0.014709
13407,2017/5/2,FB,54084,152.78,21870380,0.002099
13407,2017/5/3,FB,54084,151.8,29782506,-0.006414
13407,2017/5/4,FB,54084,150.85001,36298577,-0.006258
13407,2017/5/5,FB,54084,150.24001,17148943,-0.004044
13407,2017/5/8,FB,54084,151.06,15828488,0.005458
13407,2017/5/9,FB,54084,150.48,17453859,-0.00384
13407,2017/5/10,FB,54084,150.28999,12080650,-0.001263
13407,2017/5/11,FB,54084,150.03999,11841864,-0.001663
13407,2017/5/12,FB,54084,150.33,9598229,0.001933
13407,2017/5/15,FB,54084,150.19,15064664,-0.000931
13407,2017/5/16,FB,54084,149.78,14551758,-0.00273
13407,2017/5/17,FB,54084,144.85001,28302543,-0.032915
